gene	p.value	FDR	summary.logFC	logFC.pre.ciliated	logFC.ciliated	logFC.secretory.mid	logFC.secretory.early	logFC.luminal.late	logFC.transcriptionally.active	logFC.luminal.early	logFC.MUC5B.	logFC.KRT5.	logFC.remodeling	logFC.cycling	logFC.hormone.responsive.early	logFC.hormone.responsive.late
WDR43	0.999999997268763	1	-0.0573105155382341	NA	-0.0079512851864211	-0.0573105155382341	0.0214593660216273	-0.117947138097887	-0.102475110095564	-0.259403506633805	0.255279585729432	NA	-0.207385011915828	0.0222890874708242	0.0400295650895747	0.0698039383198849
MERTK	0.999999997336081	1	-0.0185837195158662	NA	-0.0149026536376069	-0.0185837195158662	0.00798428592463816	-0.0200742969229909	-0.0463552149706658	0.0222653170277663	0	NA	-0.0526424908337142	0	-0.0169312806435856	-0.0472012458065972
IFI30	0.999999997343988	1	-0.0172332432527015	NA	-0.00657011517661827	-0.0172332432527015	-0.00529093625974864	-0.00219710791892625	-0.0274043064452625	-0.0275084385588677	0	NA	-0.00251388597148713	0	-0.02983419455039	-0.0143954922091483
ZNF639	0.999999997356424	1	-0.0321225286910676	NA	-0.0291011366210353	-0.0321225286910676	0.0295780202220256	-0.0101066931198234	0.00102827521665328	0.0692448399854445	0	NA	-0.0204973993456526	-0.118726869337874	-0.0339376503712177	-0.00949972267829462
KCNC4	0.999999997360164	1	-0.0167248487194291	NA	-0.00686128311555873	-0.0167248487194291	0.0873016982482824	-0.0618463411675614	-0.00911869356412392	0.00440346974248371	0.517956562465449	NA	0.00824663992798367	0.19596803833846	0.0551523817688815	0.189370015632457
IRF2BPL	0.999999997363387	1	-0.127097067876978	NA	-0.0429093377705011	-0.0416248749458645	-0.127097067876978	-0.0338064646629204	0.01897898772637	-0.0236805406594343	-0.252259029964894	NA	0.0510148317548128	-0.015830139542794	-0.0642189162204213	-0.161752767291504
C11orf49	0.999999997411865	1	-0.114688307749336	NA	-0.114688307749336	0.0185342166693924	0.0125989479773714	0.0402482201416257	0.028938485791459	0.0616854760991716	0	NA	0.0131718926816746	0.101677032556466	0.0616573024217235	0.0606583401537786
PGRMC1	0.999999997427611	1	-0.22116497388659	NA	0.0482125797282356	0.0867934242615295	-0.22116497388659	-0.172085950184989	0.268517648428476	-0.224523797681955	-0.438793111641438	NA	0.239608159126296	-0.309535322741973	-0.224085139050008	-0.396732277892355
ITGA3	0.99999999746078	1	-0.103293306183891	NA	-0.103293306183891	-0.0314396235252375	0.0573668009725646	0.0277257511320063	-0.0101385113175463	-0.0698770052495217	0.177686807744638	NA	0.0242048734014753	0.0990423217021483	0.0903572653862188	0.201216844445524
ADM	0.999999997461351	1	-0.160540873162992	NA	0.290708575638924	-0.160540873162992	-0.348151220023333	-0.080294700988681	0.251333790621279	0.325539738461529	0.429945837709531	NA	0.175972312142355	-0.0649539063096719	0.100338836682343	-0.265044532322493
MEGF9	0.999999997464251	1	-0.0459044128034726	NA	0.0151547804646431	-0.0459044128034726	0.0284293763038305	0.00852032010769149	0.0144772938466598	-0.0346944666847826	-0.269074782124114	NA	0.0250740461577948	0.0614312439963863	0.0338739936147632	-0.0585129688000969
CYB561	0.999999997485429	1	-0.139529948901339	NA	-0.139529948901339	-0.0213683192848512	0.0264691143760524	0.152822409774104	0.118678350438056	0.231016118595613	-0.269074782124114	NA	0.221100718990753	0.0041119356860581	0.143910825730565	-0.150555503232759
SEMA3F	0.999999997508064	1	-0.0364471103492737	NA	-0.0103318349646833	-0.0364471103492737	0.041186826687117	0.0268995567428322	-0.0378400308439101	-0.0230636851108095	0	NA	-0.000291456455307735	0.0678418418107013	0.0317666500957025	0.0308498099085529
WLS	0.999999997527258	1	-0.516077358437806	NA	0.0475541162098336	-0.0660542884800772	-0.161202057758853	-0.516077358437806	0.0573501108317298	-0.135367834133958	0.0104179467711225	NA	0.0129588913479466	-0.0271175542644412	-0.202391238307074	-0.275965105411276
C12orf45	0.999999997582252	1	-0.0809581124000203	NA	-0.0101304386652578	0.0140887941810744	-0.0809581124000203	-0.0873821095435168	0.0531428561942194	-0.0923977808385743	0	NA	-0.0232573619890977	-0.108678544417851	-0.142769184541287	-0.148912480596129
SPTLC2	0.999999997599968	1	-0.118943869330404	NA	-0.118943869330404	-0.0327363624119639	-0.0953579031823371	-0.0555147378412192	0.0238343853494392	-0.113495171279694	0	NA	-0.0179163574028106	-0.145781972484645	0.0250644730876317	-0.00736206627095481
