term_name	p_value	term_size	query_size	intersection_size
positive regulation of leukocyte mediated cytotoxicity	0.0166794075426693	40	97	3
sensory perception of bitter taste	0.0171598537283668	11	97	2
detection of chemical stimulus involved in sensory perception of bitter taste	0.0171598537283668	11	97	2
indolalkylamine metabolic process	0.0171598537283668	11	97	2
positive regulation of insulin secretion involved in cellular response to glucose stimulus	0.0171598537283668	11	97	2
phosphatidylethanolamine acyl-chain remodeling	0.0171598537283668	11	97	2
negative regulation of lymphocyte proliferation	0.0173901746256617	41	97	3
negative regulation of mononuclear cell proliferation	0.0173901746256617	41	97	3
positive regulation of leukocyte mediated immunity	0.0173901746256617	87	97	4
positive regulation of cell killing	0.0198699842407914	43	97	3
regulation of mast cell activation	0.0201294324254685	12	97	2
regulation of mononuclear cell migration	0.0201920106522582	91	97	4
regulation of peptide hormone secretion	0.0201920106522582	91	97	4
regulation of signaling	0.0207843229966314	2412	97	26
regulation of cell communication	0.0209532052813865	2414	97	26
immune response-regulating cell surface receptor signaling pathway	0.0212787177544057	223	97	6
response to bacterium	0.0214078194465619	301	97	7
positive regulation of MAPK cascade	0.0216503463964579	302	97	7
amide transport	0.0216503463964579	154	97	5
activation of immune response	0.0224503281279982	390	97	8
chemokine (C-X-C motif) ligand 2 production	0.0224503281279982	13	97	2
negative regulation of inflammatory response to antigenic stimulus	0.0224503281279982	13	97	2
detection of chemical stimulus involved in sensory perception of taste	0.0224503281279982	13	97	2
regulation of chemokine (C-X-C motif) ligand 2 production	0.0224503281279982	13	97	2
insulin secretion	0.0224503281279982	95	97	4
immunological memory process	0.0224503281279982	13	97	2
negative regulation of apoptotic signaling pathway	0.0224503281279982	156	97	5
negative regulation of leukocyte proliferation	0.0226045777814448	46	97	3
interleukin-6 production	0.0230751114801285	96	97	4
regulation of interleukin-6 production	0.0230751114801285	96	97	4
regulation of kinase activity	0.0231922148478287	393	97	8
tolerance induction	0.0243517104613343	14	97	2
macrophage cytokine production	0.0243517104613343	14	97	2
negative regulation of leukocyte activation	0.0243517104613343	98	97	4
regulation of macrophage cytokine production	0.0243517104613343	14	97	2
phosphorylation	0.0243517104613343	1001	97	14
I-kappaB phosphorylation	0.0243517104613343	14	97	2
tooth mineralization	0.0243517104613343	14	97	2
positive regulation by symbiont of entry into host	0.0243517104613343	14	97	2
cellular extravasation	0.0243517104613343	48	97	3
toll-like receptor 2 signaling pathway	0.0243517104613343	14	97	2
indole-containing compound metabolic process	0.0243517104613343	14	97	2
positive regulation of viral entry into host cell	0.0243517104613343	14	97	2
regulation of inflammatory response	0.0243517104613343	234	97	6
positive regulation of macrophage migration	0.0243517104613343	14	97	2
positive regulation of osteoclast differentiation	0.0243517104613343	14	97	2
cell killing	0.0243517104613343	99	97	4
phosphorus metabolic process	0.0247092121091558	1826	97	21
phosphate-containing compound metabolic process	0.0247092121091558	1826	97	21
positive regulation of cytokine production involved in immune response	0.0251445409908691	49	97	3
cell adhesion	0.0253513764316836	1008	97	14
regulation of cell development	0.025406348029697	495	97	9
odontogenesis	0.026290668043385	50	97	3
positive regulation of type II interferon production	0.026290668043385	50	97	3
glial cell proliferation	0.0272069377533921	15	97	2
leukocyte migration	0.0272351453768708	241	97	6
positive regulation of cytokine production	0.0305119697846333	329	97	7
positive regulation of metabolic process	0.0315499366596267	2645	97	27
macrophage activation	0.0320710098811895	54	97	3
negative regulation of cytokine-mediated signaling pathway	0.0320710098811895	54	97	3
positive regulation of T cell proliferation	0.0335769006664404	55	97	3
apoptotic signaling pathway	0.0335769006664404	425	97	8
peptide hormone secretion	0.0337145192228239	110	97	4
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	0.0339838757534534	17	97	2
regulation of catalytic activity	0.0345269585158753	829	97	12
viral genome replication	0.0356018788927291	112	97	4
positive regulation of macromolecule metabolic process	0.0357828532115275	2409	97	25
immune response-activating signaling pathway	0.0357828532115275	341	97	7
regulation of ATP-dependent activity	0.0361801035446663	57	97	3
positive regulation of NF-kappaB transcription factor activity	0.0361801035446663	113	97	4
negative regulation of cell activation	0.0361801035446663	113	97	4
positive regulation of cyclic nucleotide-gated ion channel activity	0.0362892433542706	1	97	1
negative regulation of translational frameshifting	0.0362892433542706	1	97	1
acute-phase response	0.0362892433542706	19	97	2
regulation of translational frameshifting	0.0362892433542706	1	97	1
positive regulation of blood microparticle formation	0.0362892433542706	1	97	1
lipid modification by small protein conjugation	0.0362892433542706	1	97	1
lipid ubiquitination	0.0362892433542706	1	97	1
regulation of blood microparticle formation	0.0362892433542706	1	97	1
negative regulation of natural killer cell cytokine production	0.0362892433542706	1	97	1
negative regulation of shelterin complex assembly	0.0362892433542706	1	97	1
isoleucine transmembrane transport	0.0362892433542706	1	97	1
translational frameshifting	0.0362892433542706	1	97	1
regulation of interleukin-33 production	0.0362892433542706	1	97	1
positive regulation of interleukin-4-mediated signaling pathway	0.0362892433542706	1	97	1
chronic inflammatory response to antigenic stimulus	0.0362892433542706	1	97	1
positive regulation of interleukin-33 production	0.0362892433542706	1	97	1
regulation of voltage-gated chloride channel activity	0.0362892433542706	1	97	1
L-isoleucine import across plasma membrane	0.0362892433542706	1	97	1
positive regulation of inorganic anion transmembrane transport	0.0362892433542706	1	97	1
