term_name	p_value	term_size	query_size	intersection_size
meiotic nuclear division	0.00611596915565632	120	99	5
regulation of double-strand break repair via homologous recombination	0.00624398435300696	70	99	4
regulation of attachment of mitotic spindle microtubules to kinetochore	0.00672883150014448	8	99	2
positive regulation of attachment of mitotic spindle microtubules to kinetochore	0.00672883150014448	8	99	2
regulation of double-strand break repair	0.00747230635441082	126	99	5
regulation of macromolecule metabolic process	0.00783533404738772	4523	99	43
centromeric sister chromatid cohesion	0.00838914409213028	9	99	2
meiotic cell cycle phase transition	0.00838914409213028	9	99	2
purine nucleobase biosynthetic process	0.00838914409213028	9	99	2
tetrahydrofolate interconversion	0.00838914409213028	9	99	2
protein localization to chromosome, centromeric region	0.00979826599209176	37	99	3
deoxyribose phosphate biosynthetic process	0.0102193398694159	10	99	2
negative regulation of cell division	0.0102193398694159	10	99	2
2'-deoxyribonucleotide biosynthetic process	0.0102193398694159	10	99	2
deoxyribonucleotide biosynthetic process	0.0102193398694159	10	99	2
cytokinetic process	0.0103635612756294	38	99	3
establishment of localization in cell	0.0108411253847149	1468	99	19
mitotic DNA replication checkpoint signaling	0.0121268536319648	11	99	2
protein localization to nuclear envelope	0.0121268536319648	11	99	2
negative regulation of cGAS/STING signaling pathway	0.0121268536319648	11	99	2
positive regulation of DNA-templated DNA replication	0.0121268536319648	11	99	2
positive regulation of cell cycle G1/S phase transition	0.0125431191643609	41	99	3
regulation of mitotic spindle organization	0.0125431191643609	41	99	3
positive regulation of protein ubiquitination	0.0126506267492906	87	99	4
regulation of circadian rhythm	0.0126506267492906	87	99	4
regulation of primary metabolic process	0.0126898670666927	4217	99	40
regulation of metabolic process	0.0130560468573588	4941	99	45
meiotic chromosome segregation	0.0140401862822887	43	99	3
cGAS/STING signaling pathway	0.0140401862822887	12	99	2
negative regulation of cellular process	0.0143815535337983	3689	99	36
meiosis I cell cycle process	0.0145430931115639	91	99	4
regulation of spindle organization	0.0147602181292675	44	99	3
regulation of meiotic cell cycle	0.0147602181292675	44	99	3
response to stress	0.0154524945532995	2636	99	28
regulation of protein ubiquitination	0.0158812753873544	154	99	5
regulation of metaphase plate congression	0.0160502193583255	13	99	2
biological_process	0.0170530784755857	13264	99	93
establishment or maintenance of cell polarity	0.0170530784755857	157	99	5
reproductive process	0.0171577275458236	668	99	11
nucleobase biosynthetic process	0.0182886377722384	14	99	2
purine nucleobase metabolic process	0.0182886377722384	14	99	2
cellular response to stimulus	0.0186390631898907	4891	99	44
tetrahydrofolate metabolic process	0.0204617301863165	15	99	2
protein localization to kinetochore	0.0204617301863165	15	99	2
regulation of meiotic nuclear division	0.0204617301863165	15	99	2
protein localization to condensed chromosome	0.0204617301863165	15	99	2
phosphorylation	0.0204617301863165	1001	99	14
regulation of exit from mitosis	0.0204617301863165	15	99	2
regulation of telomere maintenance	0.0204617301863165	102	99	4
sexual reproduction	0.0220939987868896	500	99	9
organelle inheritance	0.0229455806949924	16	99	2
Golgi inheritance	0.0229455806949924	16	99	2
negative regulation of macromolecule metabolic process	0.0241363776044798	1963	99	22
positive regulation of protein modification by small protein conjugation or removal	0.024615672191072	108	99	4
positive regulation of post-translational protein modification	0.025338834442684	109	99	4
positive regulation of telomere capping	0.0255206725914206	17	99	2
protein phosphorylation	0.0262632199342682	924	99	13
regulation of cyclin-dependent protein serine/threonine kinase activity	0.0265116981227766	56	99	3
protein localization to chromatin	0.0265116981227766	56	99	3
negative regulation of biological process	0.0274071191466142	3852	99	36
regulation of catalytic activity	0.0289343381557673	829	99	12
karyogamy	0.0301549833204307	1	99	1
meiotic DNA recombinase assembly	0.0301549833204307	1	99	1
cellular response to tetrahydrofolate	0.0301549833204307	1	99	1
response to tetrahydrofolate	0.0301549833204307	1	99	1
metaphase/anaphase transition of meiosis I	0.0301549833204307	1	99	1
regulation of cyclin-dependent protein kinase activity	0.0301549833204307	59	99	3
positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric	0.0301549833204307	1	99	1
post-translational protein modification	0.0301549833204307	729	99	11
positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore	0.0301549833204307	1	99	1
regulation of lateral attachment of mitotic spindle microtubules to kinetochore	0.0301549833204307	1	99	1
pronuclear fusion	0.0301549833204307	1	99	1
cell cycle comprising mitosis without cytokinesis	0.0301549833204307	1	99	1
negative regulation of DNA replication	0.0330480807702134	20	99	2
regulation of protein modification by small protein conjugation or removal	0.0339940835091037	191	99	5
activation of protein kinase activity	0.0346692107528785	63	99	3
regulation of post-translational protein modification	0.035765471843648	194	99	5
regulation of necroptotic process	0.035765471843648	21	99	2
nucleobase metabolic process	0.035765471843648	21	99	2
macromolecule metabolic process	0.0357892185276491	6756	99	55
regulation of protein kinase activity	0.0383234537796504	365	99	7
folic acid-containing compound metabolic process	0.0386609992606321	22	99	2
nucleoside monophosphate biosynthetic process	0.0386609992606321	22	99	2
one-carbon metabolic process	0.0416174635649706	23	99	2
microtubule organizing center localization	0.0416174635649706	23	99	2
regulation of programmed necrotic cell death	0.0416174635649706	23	99	2
centrosome localization	0.0416174635649706	23	99	2
regulation of DNA repair	0.0417571318124569	203	99	5
regulation of molecular function	0.0430598965688133	1343	99	16
protein-containing complex assembly	0.0441102073220189	1229	99	15
cellular response to radiation	0.0447260397543282	133	99	4
positive regulation of protein localization to nucleus	0.0454988835284071	71	99	3
positive regulation of intracellular protein transport	0.0454988835284071	71	99	3
protein modification process	0.0471994312634469	2105	99	22
exit from mitosis	0.0473939468514489	25	99	2
regulation of telomere capping	0.0473939468514489	25	99	2
mitotic cytokinetic process	0.0473939468514489	25	99	2
peptidyl-threonine phosphorylation	0.0482913670268053	73	99	3
negative regulation of metabolic process	0.0492445793171007	2116	99	22
