genes	logFC	logCPM	F	PValue	FDR	sig
AC144450.2	-1.9868086512287	-0.391579169885616	30.0429632978746	2.77816026893246e-07	5.20919986770368e-05	Not Sig
CILP2	1.76863401632004	2.67603124279699	30.5983948936262	2.81646434517832e-07	5.2248409841723e-05	Not Sig
VAV3	-0.992199279535198	6.0847658946487	30.4073070568107	3.02975261739499e-07	5.56135012022461e-05	Not Sig
DUOX2	2.8459299438376	3.55692865391275	29.8217491135332	3.542075393861e-07	6.43403236647377e-05	Up
C4BPA	-2.68548617037893	3.86550760392703	29.7200487209824	3.69526872051312e-07	6.64310267508327e-05	Down
RP11-817J15.2	1.54295687394652	-1.10983596889614	28.2335800115931	3.76702270863828e-07	6.70299408094227e-05	Not Sig
SPTSSB	2.07193086584725	0.866092725663334	29.7796157088358	3.87459972705779e-07	6.7865268426776e-05	Up
SERPINA3	2.93029715562604	4.52899491335787	29.7521405121904	3.89180344229705e-07	6.7865268426776e-05	Up
HUNK	-1.49793397704823	0.041926498015324	29.0445968956488	4.21267260867682e-07	7.2733252425848e-05	Not Sig
NOSTRIN	-2.27711284735735	4.58441040732397	29.4749471153489	4.36768993484433e-07	7.46703696900151e-05	Down
S100A9	-2.21166620893066	2.23304033473693	29.1976559605066	4.57990769633105e-07	7.6975047036154e-05	Down
NPTX2	1.76983075620605	0.701354710642207	28.8460915437993	4.59078156426197e-07	7.6975047036154e-05	Not Sig
CCR7	3.96343792153117	1.35985385152049	28.1579848145668	4.89517865267297e-07	8.12972622336298e-05	Up
TMEM252	-2.85571328889962	3.91472023470279	29.0965963618198	5.08333807652974e-07	8.36257069608732e-05	Down
COL5A3	-2.53480575008996	-0.762047051539558	28.375244715296	5.30176264542192e-07	8.64038663652967e-05	Down
PXDN	-1.49825138300932	7.93198023294469	28.8747591362973	5.5297745909745e-07	8.92853789976049e-05	Not Sig
DCLK2	-1.67624252623408	2.58686115661489	28.671347282449	5.9999776741809e-07	9.59886336535473e-05	Not Sig
RAB37	2.61255433094003	-1.30150526280465	27.5672463761399	6.16447298063769e-07	9.77237089421456e-05	Up
DLX6-AS1	-1.14921679105887	2.55834102910121	28.5169039788322	6.37839326666268e-07	0.000100203983589247	Not Sig
EPHA4	-1.68035346780453	3.12383869549944	28.3820340550824	6.72879265174095e-07	0.000104764898447374	Not Sig
ARMCX2	0.784281155960427	5.95797586825997	28.3351104679958	6.84841316012273e-07	0.000105683742200195	Not Sig
SLC47A1	2.67147188462747	1.05389016097119	27.5900407713304	7.45714958570638e-07	0.000114068223224165	Up
MANCR	2.82489269936783	-1.29443675292629	26.6917493644472	7.97537738352979e-07	0.000120023156246615	Up
DHRS9	2.50260209003962	3.54892855096843	27.925769760807	7.98821040055829e-07	0.000120023156246615	Up
FKBP10	-1.86131084328387	3.57605484671916	27.9392877428533	8.05293570412542e-07	0.000120023156246615	Not Sig
SALL1	-1.06073355769069	5.15195218182856	27.6036606682205	9.16715537301687e-07	0.000135471911351414	Not Sig
NNMT	1.87091638794519	2.48510910237047	27.318719527102	1.03126103329407e-06	0.000151118738643546	Not Sig
CRMP1	-2.45996808636147	-0.981998252515376	25.9768981264071	1.08244977896923e-06	0.000157297993713878	Down
P3H2	-1.57354235469743	2.94626614854188	27.0750555496131	1.13418321755366e-06	0.000163453611138022	Not Sig
SGCD	-2.61302492766569	-0.0302716261560475	26.1865231372746	1.22520422543231e-06	0.000174706743400515	Down
GNG11	1.68124791608939	3.32840334394567	26.8254738611339	1.25415736232353e-06	0.000174706743400515	Not Sig
IRAK3	1.79152831538466	0.957081833421447	26.769892773359	1.26116024593225e-06	0.000174706743400515	Not Sig
OTUB2	1.37196306701019	3.7721400466119	26.8069334881289	1.26242856815428e-06	0.000174706743400515	Not Sig
TBL1X	-0.593230844735614	4.92830521878793	26.7993189521485	1.26610660885761e-06	0.000174706743400515	Not Sig
FRRS1L	2.18660526808132	3.05451036515261	26.7888321088338	1.27237965431044e-06	0.000174706743400515	Up
