genes	logFC	logCPM	F	PValue	FDR	sig
ATP6AP1L	-3.03875050453334	3.16035305501138	89.5473229440998	2.42201454984321e-15	5.01604390975841e-14	Down
ATE1	1.76027961960781	3.45794106145681	89.5126164644995	2.43662705086096e-15	5.03849509740788e-14	Not Sig
SLC25A33	1.69609747135835	3.31978742991356	89.5107801885185	2.43884744170466e-15	5.03849509740788e-14	Not Sig
SRXN1	1.81172342609008	4.78232551803889	89.4926900047774	2.44593681303976e-15	5.03849509740788e-14	Not Sig
MOGAT2	4.89820428196592	-1.99428128393712	80.2059242780275	2.44727550245133e-15	5.03849509740788e-14	Up
PSMA4	0.855027304302315	6.67978358461201	89.4888848954948	2.44730206876045e-15	5.03849509740788e-14	Not Sig
KCNQ1OT1	-2.64367422471965	2.7239624268838	89.4911790186206	2.46190587961785e-15	5.06258428405378e-14	Down
USP16	1.06727148383686	4.96955413591016	89.4458977359793	2.47529321167988e-15	5.08411814196393e-14	Not Sig
DNAJB12	0.907343564237336	5.44773626770735	89.4286921297619	2.48599812249451e-15	5.10009826588933e-14	Not Sig
C8orf44	-2.00805474759559	1.51597392016369	89.454219260587	2.50834362037295e-15	5.13454707965079e-14	Down
CTC-338M12.5	-3.4046655825948	0.0258598465492425	88.375501088092	2.50867881171148e-15	5.13454707965079e-14	Down
ALAD	-1.10064158717611	5.57696950854955	89.3612381850783	2.52984512646616e-15	5.17179827846623e-14	Not Sig
RP11-441O15.3	-3.08937535696587	0.739279108514503	89.4213552396572	2.69596473332196e-15	5.50494531846233e-14	Down
DARS2	1.60194132965289	4.23398091555265	89.1035060390379	2.70725937383536e-15	5.51956224357155e-14	Not Sig
ABHD13	1.67690789534806	3.31257609323921	89.1053654374026	2.709453653227e-15	5.51956224357155e-14	Not Sig
FUT11	-2.92198043299956	5.51002715190855	89.0919852511596	2.71428039596527e-15	5.52294300406562e-14	Down
TMEM91	-3.56053762870913	3.69470134501923	89.1065571998025	2.7203931286953e-15	5.52892953125742e-14	Down
ZC3H6	-1.60966117516918	3.9198142433242	88.9581433767158	2.81192475794773e-15	5.70830546322382e-14	Not Sig
NDUFAF4	1.95747490961199	3.10487166939634	88.927429552022	2.84449199700034e-15	5.76770365624324e-14	Not Sig
CEACAM6	3.61836358916267	5.44659361477503	88.936055065229	2.86216758345018e-15	5.79680352151037e-14	Up
MEIS1	-1.69511278170094	7.93596640427058	88.8265782529848	2.90751448825277e-15	5.88181411208258e-14	Not Sig
FAM126A	2.16841859938549	3.18142914197905	88.826294866625	2.9167292521571e-15	5.89084705385603e-14	Up
HSD17B14	-3.30410188391617	-0.167911617868951	85.4918062727589	2.91873601016837e-15	5.89084705385603e-14	Down
