genes	logFC	logCPM	F	PValue	FDR	sig
SERPINA3	5.71223637962599	4.52899491335787	93.4417969431683	8.59521018255327e-16	1.62916603438439e-13	Up
REPS2	2.82871876471273	2.80918514616435	92.1771766466842	1.23132666578047e-15	2.30880369869675e-13	Up
CCR7	7.0599800216911	1.35985385152049	83.8346053981215	1.26712713553277e-15	2.3506556371724e-13	Up
PANX2	3.7538108871005	1.1537756151252	92.1363383845803	1.33115459693174e-15	2.44343935382059e-13	Up
TMEM120B	2.19709312396946	5.59815383747878	91.6166670668887	1.41294764524693e-15	2.56656052477249e-13	Up
RASL10B	-3.3408306278452	-0.121730729478356	86.3666730894597	1.47662425651586e-15	2.65457461702304e-13	Down
LMO3	-3.26633632345567	2.98569131242626	91.3679822737297	1.54304382997608e-15	2.74567329664519e-13	Down
RP11-469H8.6	-3.27050828198893	2.53459833041907	91.3132736146004	1.56819672417346e-15	2.76224388647846e-13	Down
CBX6	-1.56955975443465	6.04090211573528	91.1205990334658	1.60511325283029e-15	2.79899649028546e-13	Not Sig
CLIC6	2.21646902082468	4.14424988878699	91.0507342689483	1.6434476551557e-15	2.83746932778268e-13	Up
EPHA4	-3.03124633607835	3.12383869549944	90.988917437181	1.66983188170894e-15	2.85475768169025e-13	Down
LGI2	-4.91573845388297	-0.602621226677019	82.9254346087274	1.74087351829053e-15	2.94731576815051e-13	Down
SLC14A1	-5.02440690929122	5.73592024043024	90.8344322951903	1.77441551586431e-15	2.95859890441823e-13	Down
IGFBP4	4.49014943171743	6.89013101500348	90.7161566986846	1.78147083933888e-15	2.95859890441823e-13	Up
SLC11A1	2.56954617428932	0.924476522328247	90.2625265299643	1.95537863861873e-15	3.2167823302107e-13	Up
F3	2.08187300216014	6.74640970070122	90.1210741252321	2.07746383969898e-15	3.38568359221223e-13	Up
SLC20A1	2.05866296445284	5.91084582290535	89.8409319492136	2.23378936497334e-15	3.56963655933177e-13	Up
PHLPP1	1.06539180018582	3.57154264807629	89.8283270725992	2.24338881987043e-15	3.56963655933177e-13	Not Sig
NEBL	1.89090937531573	3.13638363964598	89.817929403276	2.25174917723646e-15	3.56963655933177e-13	Not Sig
BLMH	-1.18717146220782	4.79085117516282	89.543405699328	2.41360302946953e-15	3.7917486151252e-13	Not Sig
VTCN1	-3.21780455029385	6.063620431616	88.8656698269065	2.87831118073593e-15	4.48142771157796e-13	Down
PIGM	-1.49174797539857	3.91503494076132	88.823258556306	2.91278664166344e-15	4.49497110241833e-13	Not Sig
GFRA1	-4.41184421650537	4.04421093917738	88.657566398886	3.11596753078405e-15	4.76633700015898e-13	Down
FLT1	8.82509086179002	-1.44515750966666	96.7411521207466	3.30159490905363e-15	5.00636626296323e-13	Up
SEMA3G	4.36299269760763	-0.13145910954576	83.1928338300122	3.37283272593813e-15	5.07029802369906e-13	Up
RP11-856M9.1	2.81303543760925	0.369537607557721	83.1620407198446	3.56265608384598e-15	5.30988006753045e-13	Up
CCDC28A	1.95041992244394	4.03651548306979	87.7162074562988	3.89006507969756e-15	5.74872498811577e-13	Not Sig
CLN6	-1.56335932525219	5.16135952990813	87.2728084107396	4.36791057038342e-15	6.40064071649967e-13	Not Sig
C20orf27	-1.81275696486483	4.81407946825007	86.7991701058149	4.94857165860707e-15	7.19109938189917e-13	Not Sig
NOS1	2.97570709175392	1.55467273586156	84.2005004341564	5.4604635588097e-15	7.8693854164069e-13	Up
LUCAT1	3.53638773471264	2.83694908939994	84.7604671618051	7.18695346114172e-15	1.02319055937766e-12	Up
GDF11	-1.86020986634359	4.98886610762581	85.3730939604692	7.21713721776876e-15	1.02319055937766e-12	Not Sig
ARMC6	-1.20139852237689	4.8925317522095	85.2869441063846	7.38467693673932e-15	1.0384999711521e-12	Not Sig
RNF43	-1.24014135964073	4.96787788843278	85.1631406127944	7.6309743969285e-15	1.06455145226911e-12	Not Sig
FOXRED2	-1.73077720863197	4.26714440453634	85.0721385345941	7.82214381338263e-15	1.0753199792852e-12	Not Sig
