genes	logFC	logCPM	F	PValue	FDR
TMEM9B	-0.452651993548661	4.95710486076402	24.4284427976998	1.91216250307778e-05	6.48330283143704e-05
NUDT21	-0.440738593711853	6.08796782362822	24.425984366505	1.91352250383532e-05	6.48657710912732e-05
RSPH1	1.22368723217868	7.77037932066035	24.4162745577825	1.91919641767697e-05	6.5044705948092e-05
CLCA4	1.82371244006584	0.5484445843274	23.0702273482661	1.92478052088507e-05	6.52205238909996e-05
RWDD2B	-0.436817673364561	4.52674054275106	24.4000121143634	1.92887136992093e-05	6.53456814385691e-05
RP11-573D15.8	1.38695977122286	-0.566568564360342	23.4449587072062	1.92988804911614e-05	6.53596392219471e-05
PENK	-1.7538268731952	3.01575045142778	23.772946572792	1.93007797301209e-05	6.53596392219471e-05
AP5M1	-0.51898797178528	4.40104204368034	24.3902745516564	1.93464886086644e-05	6.55009434248072e-05
ELOA-AS1	0.55711752159147	1.98638216663754	24.3945337341361	1.93530287084514e-05	6.55096039676407e-05
PTGS1	0.907959528018788	5.18854121790765	24.3866358666029	1.936723832282e-05	6.55442167555467e-05
IL17RE	-0.775830597914816	2.6451018618663	24.3840043750382	1.93951502056742e-05	6.56251781229012e-05
ZNF404	0.886767734571205	1.46109916019447	24.3876782347279	1.94209366456936e-05	6.56989160514715e-05
FOXO3B	-1.45958753606922	0.0695998511065215	24.4473742880605	1.94379545932834e-05	6.57429669025709e-05
CTD-2017D11.1	-0.670318965996594	2.24788953925808	24.3634550669685	1.95225872604548e-05	6.60156388533899e-05
ATP5F1A	-0.704762076824925	8.47647825983473	24.3563114410691	1.95465304151654e-05	6.60830192889202e-05
ZSCAN2	-0.729943100315531	2.57443320728184	24.3488877971508	1.96036395229779e-05	6.62624766370475e-05
PLEKHA7	-0.510979679418117	5.76412989748235	24.3320111934918	1.96923101569791e-05	6.65485198012455e-05
ABHD8	0.508747786180747	3.5573630030654	24.3222287571822	1.97552815279396e-05	6.67476147907443e-05
RBL2	0.500337569525612	5.67500951637461	24.3168169358831	1.97839125028966e-05	6.6830625171489e-05
TAZ	0.614881349459326	5.11896754551061	24.3152164275027	1.97938846592225e-05	6.68505843828513e-05
CENPB	-0.481087260227969	6.63981946624279	24.3139511971837	1.98012083609119e-05	6.6861592517521e-05
UTP3	-0.307195309599881	5.4635765172917	24.3099782518617	1.98254445764641e-05	6.69296919202566e-05
TPM1	-0.579612508641782	8.36991719408569	24.2952042308331	1.9915019017357e-05	6.72182966463972e-05
TP53BP1	0.351640483701057	6.36876458564571	24.2766529341427	2.00283588775558e-05	6.7586980901471e-05
NFS1	-0.359662248155081	4.63297561894436	24.2739039077484	2.0045913928889e-05	6.76323482453143e-05
DHRS11	-0.66054819964289	3.24576678321399	24.2718617181519	2.00634329494966e-05	6.76642964705394e-05
ZKSCAN1	0.459561498773951	6.84493788866555	24.2709031120362	2.00636093965893e-05	6.76642964705394e-05
ECT2	-0.915188164633697	5.41084491883312	24.258844609801	2.01391827971097e-05	6.79052461970182e-05
MLEC	-0.477488816736991	7.8018690760199	24.2550620436386	2.0161088013595e-05	6.79651760064858e-05
FAM227B	0.664058609156261	1.63538120844338	24.2511456048988	2.0224919870437e-05	6.81663914748125e-05
AF001548.5	1.36948558327899	0.33436641388901	24.169519715205	2.0242881919232e-05	6.82129558486861e-05
FDX1	-0.46016961884104	4.16274708230281	24.2360985380133	2.0281037292565e-05	6.83275331763233e-05
BRAF	0.397701410728854	4.15127316076316	24.2353158899197	2.02852676434785e-05	6.83277923838789e-05
HMGA2	-0.589141885622061	5.64635098907344	24.2303115911758	2.03145878010795e-05	6.84125453256007e-05
LUC7L3	0.560415292683747	7.19658621314122	24.2249385725182	2.03478585103957e-05	6.85105649518051e-05
ZNF544	-0.362070196972958	4.66816042146752	24.2186222773891	2.03882575756352e-05	6.86325404904389e-05
GS1-57L11.1	1.2776321885087	0.307378423868749	24.3067530288468	2.03985478939213e-05	6.86531324474016e-05
BHLHB9	-0.964965605328199	1.48747079237	24.2228540255857	2.04167467041128e-05	6.87003272712946e-05
GTF3C5	-0.544156696389146	6.92051766781832	24.2045544078271	2.04752890565279e-05	6.88816315914249e-05
EMC2	0.417004194820024	5.11307145847307	24.2036521047319	2.04810975996405e-05	6.88816315914249e-05
WDR26	0.324715130727686	6.52420445773727	24.2032953829336	2.04831889699867e-05	6.88816315914249e-05
